"","game","Point","Our score at pull","Opponent's score at pull","Started on offense?","Scored?","Possessions","Passes","Turnovers","Thrower errors","Receiver errors","Defensive blocks","Opposition errors","Secondary assist","Assist","Goal"
"187","UNC 2025-03-02_11-59",5,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
"188","UNC 2025-03-02_11-59",6,3,2,1,1,1,5,0,0,0,0,0,"Roan Dunkerley","Gavin Abrahamson","Griffin Gee"
"189","UNC 2025-03-02_11-59",7,4,2,0,0,1,1,1,1,0,0,1,NA,NA,NA
"190","UNC 2025-03-02_11-59",8,4,3,1,1,2,20,1,1,0,0,1,"Griffin Gee","Carter Hawkins","Shiff Burt"
"191","UNC 2025-03-02_11-59",9,5,3,0,0,0,0,0,0,0,0,0,NA,NA,NA
"192","UNC 2025-03-02_11-59",10,5,4,1,1,1,9,0,0,0,0,0,"Roan Dunkerley","Carter Hawkins","Luca Harwood"
"193","UNC 2025-03-02_11-59",11,6,4,0,0,0,0,0,0,0,0,0,NA,NA,NA
"194","UNC 2025-03-02_11-59",12,6,5,1,1,1,7,0,0,0,0,0,"Caelan McSweeney","Carter Hawkins","Griffin Gee"
"195","UNC 2025-03-02_11-59",13,7,5,0,0,1,3,1,1,0,1,0,NA,NA,NA
"196","UNC 2025-03-02_11-59",14,7,6,1,1,1,10,0,0,0,0,0,"Luca Harwood","Carter Hawkins","Shiff Burt"
"197","UNC 2025-03-02_11-59",15,8,6,0,0,0,0,0,0,0,0,0,NA,NA,NA
"198","UNC 2025-03-02_11-59",16,8,7,1,1,1,5,0,0,0,0,0,"Shiff Burt","Mason Stone","Carter Hawkins"
"199","UNC 2025-03-02_11-59",17,9,7,0,0,0,0,0,0,0,0,0,NA,NA,NA
"200","UNC 2025-03-02_11-59",18,9,8,1,0,1,3,1,1,0,0,0,NA,NA,NA
"201","UNC 2025-03-02_11-59",19,9,9,1,0,1,3,1,1,0,0,0,NA,NA,NA
"202","UNC 2025-03-02_11-59",20,9,10,1,1,3,13,2,2,0,0,2,"Mason Stone","Calan Kirkpatrick","Mason Stone"
"203","UNC 2025-03-02_11-59",21,10,10,0,0,0,0,0,0,0,0,0,NA,NA,NA
"204","UNC 2025-03-02_11-59",22,10,11,1,1,1,17,0,0,0,0,0,"Griffin Gee","Caelan McSweeney","Mason Stone"
"205","UNC 2025-03-02_11-59",23,11,11,0,0,1,7,1,0,1,0,1,NA,NA,NA
"206","UNC 2025-03-02_11-59",24,11,12,1,1,4,16,3,3,0,1,2,"Carter Hawkins","Artie Aucoin","Carter Hawkins"
"207","UNC 2025-03-02_11-59",25,12,12,0,0,0,0,0,0,0,0,0,NA,NA,NA
"208","UNC 2025-03-02_11-59",26,12,13,1,1,1,4,0,0,0,0,0,"Caelan McSweeney","Gavin Abrahamson","Roan Dunkerley"
